id,content
32241947,"Cysteine depletion induces pancreatic tumor ferroptosis in mice. Ferroptosis is a form of cell death that results from the catastrophic accumulation of lipid reactive oxygen species (ROS). Oncogenic signaling elevates lipid ROS production in many tumor types and is counteracted by metabolites that are derived from the amino acid cysteine. In this work, we show that the import of oxidized cysteine (cystine) via system xC- is a critical dependency of pancreatic ductal adenocarcinoma (PDAC), which is a leading cause of cancer mortality. PDAC cells used cysteine to synthesize glutathione and coenzyme A, which, together, down-regulated ferroptosis. Studying genetically engineered mice, we found that the deletion of a system xC- subunit, Slc7a11, induced tumor-selective ferroptosis and inhibited PDAC growth. This was replicated through the administration of cyst(e)inase, a drug that depletes cysteine and cystine, demonstrating a translatable means to induce ferroptosis in PDAC.Copyright © 2020 The Authors, some rights reserved; exclusive licensee American Association for the Advancement of Science. No claim to original U.S. Government Works. Badgley, Michael A;Kremer, Daniel M;Maurer, H Carlo;DelGiorno, Kathleen E;Lee, Ho-Joon;Purohit, Vinee;Sagalovskiy, Irina R;Ma, Alice;Kapilian, Jonathan;Firl, Christina E M;Decker, Amanda R;Sastra, Steve A;Palermo, Carmine F;Andrade, Leonardo R;Sajjakulnukit, Peter;Zhang, Li;Tolstyka, Zachary P;Hirschhorn, Tal;Lamb, Candice;Liu, Tong;Gu, Wei;Seeley, E Scott;Stone, Everett;Georgiou, George;Manor, Uri;Iuga, Alina;Wahl, Geoffrey M;Stockwell, Brent R;Lyssiotis, Costas A;Olive, Kenneth P  Science (New York, N.Y.)"
32241903,"Differential inflammasome activation predisposes to acute-on-chronic liver failure in human and experimental cirrhosis with and without previous decompensation. Systemic inflammation predisposes acutely decompensated (AD) cirrhosis to the development of acute-on-chronic liver failure (ACLF). Supportive treatment can improve AD patients, becoming recompensated. Little is known about the outcome of patients recompensated after AD. We hypothesise that different inflammasome activation is involved in ACLF development in compensated and recompensated patients.249 patients with cirrhosis, divided into compensated and recompensated (previous AD), were followed prospectively for fatal ACLF development. Two external cohorts (n=327) (recompensation, AD and ACLF) were included. Inflammasome-driving interleukins (ILs), IL-1α (caspase-4/11-dependent) and IL-1β (caspase-1-dependent), were measured. In rats, bile duct ligation-induced cirrhosis and lipopolysaccharide exposition were used to induce AD and subsequent recompensation. IL-1α and IL-1β levels and upstream/downstream gene expression were measured.Patients developing ACLF showed higher baseline levels of ILs. Recompensated patients and patients with detectable ILs had higher rates of ACLF development than compensated patients. Baseline CLIF-C (European Foundation for the study of chronic liver failure consortium) AD, albumin and IL-1α were independent predictors of ACLF development in compensated and CLIF-C AD and IL-1β in recompensated patients. Compensated rats showed higher IL-1α gene expression and recompensated rats higher IL-1β levels with higher hepatic gene expression. Higher IL-1β detection rates in recompensated patients developing ACLF and higher IL-1α and IL-1β detection rates in patients with ACLF were confirmed in the two external cohorts.Previous AD is an important risk factor for fatal ACLF development and possibly linked with inflammasome activation. Animal models confirmed the results showing a link between ACLF development and IL-1α in compensated cirrhosis and IL-1β in recompensated cirrhosis.© Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ. Monteiro, Sofia;Grandt, Josephine;Uschner, Frank Erhard;Kimer, Nina;Madsen, Jan Lysgård;Schierwagen, Robert;Klein, Sabine;Welsch, Christoph;Schäfer, Liliana;Jansen, Christian;Claria, Joan;Alcaraz-Quiles, José;Arroyo, Vicente;Moreau, Richard;Fernandez, Javier;Bendtsen, Flemming;Mehta, Gautam;Gluud, Lise Lotte;Møller, Søren;Praktiknjo, Michael;Trebicka, Jonel inflammation;liver cirrhosis;portal hypertension Gut"
32241899,"Gastrointestinal symptoms of 95 cases with SARS-CoV-2 infection. To study the GI symptoms in severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infected patients.We analysed epidemiological, demographic, clinical and laboratory data of 95 cases with SARS-CoV-2 caused coronavirus disease 2019. Real-time reverse transcriptase PCR was used to detect the presence of SARS-CoV-2 in faeces and GI tissues.Among the 95 patients, 58 cases exhibited GI symptoms of which 11 (11.6%) occurred on admission and 47 (49.5%) developed during hospitalisation. Diarrhoea (24.2%), anorexia (17.9%) and nausea (17.9%) were the main symptoms with five (5.3%), five (5.3%) and three (3.2%) cases occurred on the illness onset, respectively. A substantial proportion of patients developed diarrhoea during hospitalisation, potentially aggravated by various drugs including antibiotics. Faecal samples of 65 hospitalised patients were tested for the presence of SARS-CoV-2, including 42 with and 23 without GI symptoms, of which 22 (52.4%) and 9 (39.1%) were positive, respectively. Six patients with GI symptoms were subjected to endoscopy, revealing oesophageal bleeding with erosions and ulcers in one severe patient. SARS-CoV-2 RNA was detected in oesophagus, stomach, duodenum and rectum specimens for both two severe patients. In contrast, only duodenum was positive in one of the four non-severe patients.GI tract may be a potential transmission route and target organ of SARS-CoV-2.© Author(s) (or their employer(s)) 2020. No commercial re-use. See rights and permissions. Published by BMJ. Lin, Lu;Jiang, Xiayang;Zhang, Zhenling;Huang, Siwen;Zhang, Zhenyi;Fang, Zhaoxiong;Gu, Zhiqiang;Gao, Liangqing;Shi, Honggang;Mai, Lei;Liu, Yuan;Lin, Xianqi;Lai, Renxu;Yan, Zhixiang;Li, Xiaofeng;Shan, Hong gastric diseases;gastrointestinal pathology;gastrointestinal tract Gut"
32234757,"A 15-gene immune, stromal and proliferation gene signature that significantly associates with poor survival in patients with pancreatic ductal adenocarcinoma. Pancreatic ductal adenocarcinoma (PDAC) is a lethal disease with dismal survival rates. Tumor microenvironment (TME), comprising of immune cells and cancer-associated fibroblasts, plays a key role in driving poor prognosis and resistance to chemotherapy. Herein, we aimed to identify a TME-associated, risk-stratification gene biomarker signature in PDAC.The initial biomarker discovery was performed in The Cancer Genome Atlas (TCGA, n=163) transcriptomic data. This was followed by independent validation of the gene signature in The International Cancer Genome Consortium (ICGC, n=95), E-MTAB-6134 (n=288), and GSE71729 (n=123) datasets for predicting overall survival (OS), and for its ability to detect poor molecular subtypes. Clinical validation and nomogram establishment was undertaken by performing multivariate cox regression analysis.Our biomarker discovery effort identified a 15-gene immune, stromal and proliferation (ISP) gene signature that significantly associated with poor OS (HR: 3.90, 95% CI, 2.36-6.41, p<0.0001). This signature also robustly predicted survival in 3 independent validation cohorts ICGC (HR:2.63 [1.56-4.41], p<0.0001), E-MTAB-6134 (HR:1.53 [1.14-2.04], p=0.004), and GSE71729 (HR:2.33 [1.49-3.63], p<0.0001). Interestingly, the ISP signature also permitted identification of poor molecular PDAC subtypes with excellent accuracy in all 4 cohorts; TCGA (AUC=0.94), ICGC (AUC=0.91), E-MTAB-6134 (AUC=0.80), and GSE71729 (AUC=0.83). The ISP-derived high-risk patients exhibited significantly poor OS in a clinical validation cohort (n=119; HR:2.62 [1.50-4.56], p=0.0004). A nomogram was established which included the ISP, CA19-9, T and N-stage for eventual clinical translation.We report a novel gene signature for risk-stratification and robust identification of PDAC patients with poor molecular subtypes.Copyright ©2020, American Association for Cancer Research. Kandimalla, Raju;Tomihara, Hideo;Banwait, Jasjit K;Yamamura, Kensuke;Singh, Gagandeep;Baba, Hideo;Goel, Ajay  Clinical cancer research : an official journal of the American Association for Cancer Research"
32234756,"TP53 mutations predict sensitivity to adjuvant gemcitabine in patients with pancreatic ductal adenocarcinoma: next-generation sequencing results from the CONKO-001 trial. We performed next-generation sequencing (NGS) in the CONKO-001 phase-3 trial to identify clinically relevant prognostic and predictive mutations and conducted a functional validation in TCGA sequencing data.Patients of the CONKO-001 trial received curatively intended surgery for pancreatic adenocarcinoma (PDAC) followed by adjuvant chemotherapy with gemcitabine (Gem) or observation only (Obs). Tissue samples of 101 patients were evaluated by NGS of 37 genes. Cox proportional hazard models were applied for survival analysis. Additionally, functional genomic analyses were performed in an NGS and RNASeq dataset of 146 pancreatic tumors from The Cancer Genome Atlas (TCGA).The most common mutations in the CONKO-cohort were KRAS (75%), TP53 (60%), SMAD4 (10%), CDKNA2 (9%), as well as SWI/SNF (12%) complex alterations. In untreated patients, TP53 mutations were a negative prognostic factor for DFS (HR mut vs. WT 2.434, p=0.005). In Gem treated patients, TP53 mutations were a positive predictive factor for gemcitabine efficacy (TP53mut: HR for DFS Gem vs Obs: 0.235 (0.130 - 0.423; p<0.001); TP53wt: HR for DFS Gem vs Obs: 0.794 (0.417 - 1.513; p = 0.483) with a significant test for interaction (p=0.003). In the TCGA dataset, TP53 mutations were associated with shortened DFS.In CONKO-001, the benefit from adjuvant gemcitabine was confined to the TP53mut patient group. This potentially clinical relevant observation needs to be confirmed in independent prospective studies. The sensitivity of TP53mut PDAC to gemcitabine in CONKO-001 provides a lead for further mechanistic investigations.Copyright ©2020, American Association for Cancer Research. Sinn, Marianne;Sinn, Bruno V;Treue, Denise;Keilholz, Ulrich;Damm, Frederik;Schmuck, Rosa Bianca;Lohneis, Philipp;Klauschen, Frederick;Striefler, Jana K;Bahra, Marcus;Bläker, Hendrik;Bischoff, Sven;Pelzer, Uwe;Oettle, Helmut;Riess, Hanno;Budczies, Jan;Denkert, Carsten  Clinical cancer research : an official journal of the American Association for Cancer Research"
32234521,"Senescence-Induced Vascular Remodeling Creates Therapeutic Vulnerabilities in Pancreas Cancer. KRAS mutant pancreatic ductal adenocarcinoma (PDAC) is characterized by a desmoplastic response that promotes hypovascularity, immunosuppression, and resistance to chemo- and immunotherapies. We show that a combination of MEK and CDK4/6 inhibitors that target KRAS-directed oncogenic signaling can suppress PDAC proliferation through induction of retinoblastoma (RB) protein-mediated senescence. In preclinical mouse models of PDAC, this senescence-inducing therapy produces a senescence-associated secretory phenotype (SASP) that includes pro-angiogenic factors that promote tumor vascularization, which in turn enhances drug delivery and efficacy of cytotoxic gemcitabine chemotherapy. In addition, SASP-mediated endothelial cell activation stimulates the accumulation of CD8+ T cells into otherwise immunologically ""cold"" tumors, sensitizing tumors to PD-1 checkpoint blockade. Therefore, in PDAC models, therapy-induced senescence can establish emergent susceptibilities to otherwise ineffective chemo- and immunotherapies through SASP-dependent effects on the tumor vasculature and immune system.Copyright © 2020. Published by Elsevier Inc. Ruscetti, Marcus;Morris, John P;Mezzadra, Riccardo;Russell, James;Leibold, Josef;Romesser, Paul B;Simon, Janelle;Kulick, Amanda;Ho, Yu-Jui;Fennell, Myles;Li, Jinyang;Norgard, Robert J;Wilkinson, John E;Alonso-Curbelo, Direna;Sridharan, Ramya;Heller, Daniel A;de Stanchina, Elisa;Stanger, Ben Z;Sherr, Charles J;Lowe, Scott W T cells;chemotherapy resistance;endothelial cell activation;immunotherapy;pancreatic cancer;senescence;senescence-associated secretory phenotype;targeted therapy;tumor microenvironment;vascular biology Cell"
32228512,"Quality of life study of patients with unresectable locally advanced or metastatic pancreatic adenocarcinoma treated with gemcitabine+nab-paclitaxel versus gemcitabine alone: AX-PANC-SY001, a randomized phase-2 study. Combination of gemcitabine and nab-paclitaxel has superior clinical efficacy than gemcitabine alone. Nevertheless, health-related quality of life. (QoL) associated with this combination therapy when administered at first-line in advanced pancreatic adenocarcinoma is unknown.A total of 125 patients were randomized to combination therapy (1000 mg/m2 gemcitabine + 125 mg/m2 nab-paclitaxel) and single-agent gemcitabine (1000 mg/m2) arms to take treatment weekly for 7 of 8 weeks, and following 3 of 4 weeks, until progression or severe toxicity. Primary endpoints were three-months of definitive deterioration free percent of patients, and QoL.Overall QoL analyses showed that 34 and 58.3% of cases in gemcitabine and gemcitabine+nab-P arms had no deterioration in 3rd month QoL scores (p = 0.018). These proportions were 27.3 and 36.6% in 6th month assessments, respectively (p = 0.357). Median overall survivals in combination and single-agent arms were 9.92 months and 5.95 months, respectively (HR: 0.64, 95% CI: 0.42-0.86, p = 0.038). Median progression free survivals in these treatment arms were 6.28 and 3.22 months, respectively (HR: 0.58, 95% CI: 0.39-0.87, p = 0.008). Median time-to-deterioration were 5.36 vs 3.68 months, and objective response rates were 37.1% vs 23.7% (p = 0.009), respectively in combination and single-agent arms.Combination therapy with gemcitabine + nab-paclitaxel had better overall and progression-free survival than gemcitabine alone. Also, combination therapy showed increased response rate without toxicity or deteriorated QoL. Combination treatment with gemcitabine and nab-paclitaxel may provide significant benefit for advanced pancreatic cancer.This study has been registered in ClinicalTrials.gov as NCT03807999 on January 8, 2019 (retrospectively registered). Yalcin, Suayib;Dane, Faysal;Oksuzoglu, Berna;Ozdemir, Nuriye Yildirim;Isikdogan, Abdurrahman;Ozkan, Metin;Demirag, Guzin Gonullu;Coskun, Hasan Senol;Karabulut, Bulent;Evrensel, Turkkan;Ustaoglu, Mehmet Ali;Ozdemir, Feyyaz;Turna, Hande;Yavuzsen, Tugba;Aykan, Faruk;Sevinc, Alper;Akbulut, Hakan;Yuce, Deniz;Hayran, Mutlu;Kilickap, Saadettin Gemcitabine;Metastatic;Nab-paclitaxel;Pancreatic cancer;Quality of life BMC cancer"
32228510,"The A818-6 system as an in-vitro model for studying the role of the transportome in pancreatic cancer. The human pancreatic cancer cell line A818-6 can be grown in vitro either as a highly malignant, undifferentiated monolayer (ML) or as three-dimensional (3D) single layer hollow spheres (HS) simulating a benign, highly differentiated, duct-like pancreatic epithelial structure. This characteristic allowing A818-6 cells to switch from one phenotype to another makes these cells a unique system to characterize the cellular and molecular modifications during differentiation on one hand and malignant transformation on the other hand. Ion channels and transport proteins (transportome) have been implicated in malignant transformation. Therefore, the current study aimed to analyse the transportome gene expression profile in the A818-6 cells growing as a monolayer or as hollow spheres.The study identified the differentially expressed transportome genes in both cellular states of A818-6 using Agilent and Nanostring arrays and some targets were validated via immunoblotting. Additionally, these results were compared to a tissue Affymetrix microarray analysis of pancreatic adenocarcinoma patients' tissues. The overall transcriptional profile of the ML and HS cells confirmed the formerly described mesenchymal features of ML and epithelial nature of HS which was further verified via high expression of E-cadherin and low expression of vimentin found in HS in comparison to ML. Among the predicted features between HS and ML was the involvement of miRNA-9 in this switch. Importantly, the bioinformatics analysis also revealed substantial number (n = 126) of altered transportome genes. Interestingly, three genes upregulated in PDAC tissue samples (GJB2, GJB5 and SLC38A6) were found to be also upregulated in ML and 3 down-regulated transportome genes (KCNQ1, TRPV6 and SLC4A) were also reduced in ML.This reversible HS/ML in vitro system might help in understanding the pathophysiological impact of the transportome in the dedifferentiation process in pancreatic carcinogenesis. Furthermore, the HS/ML model represents a novel system for studying the role of the transportome during the switch from a more benign, differentiated (HS) to a highly malignant, undifferentiated (ML) phenotype. Tawfik, Doaa;Zaccagnino, Angela;Bernt, Alexander;Szczepanowski, Monika;Klapper, Wolfram;Schwab, Albrecht;Kalthoff, Holger;Trauzold, Anna 3D culture;Differentiation;Hollow spheres;Ion channels;Malignant transformation;Microarray;PDAC;Transportome BMC cancer"
32228504,"Searching for novel multimodal treatments in oligometastatic pancreatic cancer. Metastatic pancreatic cancer has a median overall survival of less than 12 months, even if treated with chemotherapy. Selected patients with oligometastatic disease could benefit from multimodal treatments connecting chemotherapy and surgical treatment or radiofrequency ablation (RFA) of metastases.We present a patient with oligometastatic pancreatic cancer recurrence who was successfully treated with a multimodal therapeutic approach. A 57-year-old male initially presenting with resectable pancreatic cancer underwent pancreatoduodenectomy. The histopathological diagnosis revealed ductal pancreatic adenocarcinoma with positive surgical resection margins and negative lymph nodes. He completed six cycles of adjuvant therapy with gemcitabine (1000 mg/mq 1,8,15q 28), followed by external radiotherapy (54 Gy in 25 fractions) associated with gemcitabine 50 mg/mq twice weekly. Three years later, the patient developed multiple liver metastases, and he started FOLFIRINOX (oxaliplatin 85 mg/mq, irinotecan 180 mg/mq, leucovorin 400 mg/mq and fluorouracil 400 mg/mq given as a bolus followed by 2400 mg/mq as a 46 h continuous infusion,1q 14) as a first-line treatment. The CT scan showed a partial response after 6 cycles. After multidisciplinary discussion, the patient underwent a laparotomic metastasectomy of the three hepatic lesions. After additional postsurgical chemotherapy with 4 cycles of the FOLFIRINOX schedule, the patient remained free of recurrence for 12 months. A CT scan showed a new single liver metastasis, which was treated with radiofrequency ablation (RFA). A second radiofrequency ablation was performed when the patient developed another single liver lesion 12 months after the first RFA; currently, the patient is free from recurrence with an overall survival of 6 years from the diagnosis.Our case has benefited from successful multimodal treatment, including surgical and local ablative techniques and systemic chemotherapy. A multimodal approach may be warranted in selected patients with oligometastatic pancreatic cancer and could improve overall survival. Further research is needed to investigate this approach. Filippini, D M;Grassi, E;Palloni, A;Carloni, R;Casadei, R;Ricci, C;Serra, C;Ercolani, G;Brandi, G;Di Marco, M Metastasectomy;Multimodal treatment;Oligometastatic cancer;Pancreatic cancer BMC cancer"
32228502,"The first pancreatic neuroendocrine tumor in Li-Fraumeni syndrome: a case report. Li-Fraumeni syndrome is a cancer predisposition syndrome caused by germline TP53 tumor suppressor gene mutations, with no previous association with pancreatic neuroendocrine tumors (PNETs). Here we present the first case of PNET associated with Li-Fraumeni syndrome.This is a 43-year-old female who underwent laparoscopic distal pancreatectomy at age 39 for a well-differentiated grade 2 cystic PNET. When the patient was 41 years old, her seven-year-old daughter was found to have an astrocytoma and a germline TP53 mutation. While undergoing surveillance with 68Gallium-DOTATATE positron emission tomography/computed tomography for her PNET, the patient was found to have a large choroid plexus papilloma in her right temporal lobe. She underwent genetic counseling and testing that identified a germline pathogenic variant in TP53, leading to the diagnosis of Li-Fraumeni syndrome. Her PNET had a hemizygous pathogenic TP53 mutation with loss of the wild-type alternate allele, consistent with loss of heterozygosity and the two-hit hypothesis. She was enrolled in a Li-Fraumeni syndrome protocol and continues surveillance screening with our service.This is the first PNET reported in association with Li-Fraumeni syndrome. Pancreatic cancer risk is elevated in this syndrome, and our case highlights the need for vigilance in screening for pancreatic neoplasms in these patients. Aversa, John G;De Abreu, Francine Blumental;Yano, Sho;Xi, Liqiang;Hadley, Donald W;Manoli, Irini;Raffeld, Mark;Sadowski, Samira M;Nilubol, Naris Hereditary pancreatic neoplasm;Li-Fraumeni syndrome;Pancreatic neuroendocrine tumor;TP53 BMC cancer"
