id,content
32233806,"Clinicopathological Differences in T2 Gallbladder Cancer According to Tumor Location. We aimed to identify clinicopathological differences and factors affecting survival outcomes of stage T2a and T2b gallbladder cancer (GBC) and validate the oncological benefits of regional lymphadenectomy and hepatic resection in these patients. This single-center study enrolled patients who were diagnosed with pathologically confirmed T2 GBC and underwent curative resection between January 1995 and December 2017. Eighty-two patients with T2a and 50 with T2b GBCs were identified, and clinical information was retrospectively collected from medical records and analyzed. Five-year overall survival rates were 96.8% and 80.7% in T2a and T2b groups, respectively (P = .007). Three- and 5-year survival rates among all patients with T2 GBC without and with lymph node metastasis were 97.2% and 94.4% and 81.3% and 81.3%, respectively (P = .029). There was no difference in survival rates between the 2 groups according to whether hepatic resection was performed (P = .320). However, in the T2b group, those who underwent hepatic resection demonstrated a better survival rate than those who did not (P = .029). The T2b group had more multiple recurrence patterns than the T2a group, and the lymph nodes were the most common site in both groups. Multivariate analysis revealed that lymph node metastasis, vascular invasion, and tumor location were significant independent prognostic factors. Hepatic resection was not always necessary in patients with peritoneal-side GBC. Considering clinicopathological features and recurrence patterns, a systematic treatment plan, including radical resection and adjuvant treatment, should be established for hepatic-side GBC. Kim, Wan-Joon;Lim, Tae-Wan;Park, Pyoung-Jae;Choi, Sae-Byeol;Kim, Wan-Bae gallbladder carcinoma;hepatic resection;lymphadenectomy;survival rate;tumor location Cancer control : journal of the Moffitt Cancer Center"
32224719,"Prognostic Factors Associated With Progression for Advanced-Stage/G1 and G2 Small-Bowel Neuroendocrine Tumors After Multimodal Therapy: Experience From a Tertiary Referral Center. Neuroendocrine tumors represent approximately 40% of primary small bowel malignancies. However, factors predictive of progression after multimodal surgical therapy have not been well described. We evaluated the characteristics of small bowel neuroendocrine tumor patients associated with progression after multimodal surgical resection.A retrospective chart review identified 99 stage III and stage IV small bowel neuroendocrine tumor patients at Mount Sinai diagnosed and treated with surgery between 2005 and 2019. Progression-free survival (PFS) was defined as time from surgery until progression in surveillance radiologic imaging. Kaplan-Meier method was used to calculate PFS. Cox proportional hazard models were used to study the prognostic factors for PFS.Of 99 patients, 48 had tumor progression during the follow-up period. Median PFS was 5.7 years (95% confidence interval [CI], 3.73-8.66) for the entire cohort. Prognostic factors for PFS were age at diagnosis (hazard ratio [HR], 1.04; 95% CI, 1.01-1.07), perineural invasion (HR, 2.19; 95% CI, 1.13-4.23), and elevated preoperative chromogranin level (HR, 2.31; 95% CI, 1.01-5.27).Age at diagnosis, perineural invasion, and elevated preoperative chromogranin level may play a prognostic role in PFS. Khetan, Prerna;Oyewole, Femi;Wolin, Edward;Kim, Michelle Kang;Divino, Celia M  Pancreas"
32224541,"The Immunomodulatory Effects and Mechanisms of Tim-3 Action in the Early Stage of Mice with Severe Acute Pancreatitis. Tim-3 has been considered as an ideal target for the immunotherapy of inflammation, but it is unclear whether Tim-3 also plays an important role in acute pancreatitis (AP), as well.To identify the immunomodulatory effects and mechanisms of Tim-3 action in the early stages of severe acute pancreatitis in mice.Male BALB/c mice were randomly divided into sham injection group, severe acute pancreatitis group, and anti-Tim-3 treated group. Histopathological scores of the pancreas were calculated, pancreatic myeloperoxidase (MPO) activity was assessed. The concentrations of serum IL-6, IL-10, and TNF-α were evaluated by ELISA method. Quantitative RT-PCR was performed to detect the transcripts of Tim-3, IL-6, IL-10, TNF-α, and TLR4 in peritoneal macrophages. The levels of peritoneal macrophages Tim-3, TLR4, MyD88, and NF-kB p65 were measured by western blot analysis.The pathological scores of the anti-Tim-3 treated group (11.5 ± 1.3) significantly increased compared with the sham (1.3 ± 0.5) and SAP groups (6.9 ± 1.0). Furthermore, the downregulation of Tim-3 significantly aggravated mouse pancreatic tissue damage. It was further shown that Tim-3 negatively regulated the production of pro-inflammatory cytokines, IL-6 and TNF-α, as well as anti-inflammatory cytokine IL-10. Of note, the negative regulation of inflammatory cytokines by Tim-3 was mediated by the activation of TLR4/MyD88 NF-kB signaling pathway.Our study showed that Tim-3 might play an important role in the development of AP through regulating the inflammatory response. Lin, Min;Huang, Jin;Chen, Wei-Chang;Fan, Zhi-Ning;Qin, Xihu  Iranian journal of immunology : IJI"
32222341,"Clinical staging in pancreatic adenocarcinoma underestimates extent of disease. We sought to identify the reliability of AJCC clinical staging was in comparison to pathologic staging in surgically resected patients with pancreatic cancer.We used the National Cancer Database Pancreas from 2004 to 2016 and evaluated patients who underwent resection for PDAC with all documented components of clinical and pathologic stage. We first evaluated the distribution of overall clinical stage and pathologic stage and then evaluated for stage migration by assessing the number of patients who shifted from a clinical stage group to a respective pathologic stage group. To further characterize the migratory pattern, we assessed the distribution of clinical and pathologic T-stage and N-stage.In our cohort of 28,338 patients who underwent resection for PDAC, AJCC clinical staging did not reliably predict pathologic stage. Stage migration after resection was responsible for discrepancies between the distribution of overall clinical stage and pathologic stage. The predominant migration was from patients with clinical stage I disease to pathologic stage II disease. Most patients with clinical T1 and T2 disease were upstaged to pathologic T3 disease and over half of patients with clinical N0 disease were upstaged to pathologic N1 disease after resection.Clinical staging appears to overrepresent early T1, T2, and N0 disease, and underrepresent T3 and N1 disease.Copyright © 2020. Published by Elsevier B.V. Chawla, Akhil;Wo, Jennifer;Castillo, Carlos Fernandez-Del;Ferrone, Cristina R;Ryan, David P;Hong, Theodore S;Blaszkowsky, Lawrence S;Lillemoe, Keith D;Qadan, Motaz American Joint committee on cancer;Clinical staging;Pancreatic cancer;Pathologic staging;Stage migration Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.]"
32222340,"Impact of adjuvant therapy in patients with invasive intraductal papillary mucinous neoplasms of the pancreas. There is limited data on the efficacy of adjuvant therapy (AT) in patients with invasive intraductal papillary mucinous neoplasms of the pancreas (IPMN). This single center retrospective cohort study aims to assess the impact of AT on survival in these patients.Patients undergoing surgery for invasive IPMN between 1993 and 2018 were included in the study. We compared the clinicopathologic features and evaluated overall survival (OS) using multivariate Cox regression adjusting for adjuvant therapy, age, T and N stage, perineural and lymphovascular invasion. We also assessed survival differences between surgery alone and AT in node negative (N0) and node positive (N+) subgroups.103 patients were included in the study; 69 underwent surgery alone while 34 also received AT. Patients in the AT group were significantly younger, presented at higher T and N stages and had more perineural and lymphovascular invasion. Median OS in the surgery alone group was 134 months and 65 months in the AT group, p = 0.052. On multivariate analysis, AT was not associated with improved OS; hazard ratio (HR) = 1.03 (0.52-2.05). In N0 patients, compared to surgery alone, AT was associated with a worse median OS (65 vs 167 months, p = 0.03), whereas in N+ patients there was a non-significant improvement (50.5 vs 20.4 months, p = 0.315).AT did not improve survival in the overall cohort even after multivariate analysis. N0 patients have excellent survival, and AT should probably be avoided in them, whereas it may be considered in patients with N+ disease.Copyright © 2020. Published by Elsevier B.V. Rodrigues, Clifton;Hank, Thomas;Qadan, Motaz;Ciprani, Debora;Mino-Kenudson, Mari;Weekes, Colin D;Ryan, David P;Clark, Jeffrey W;Allen, Jill N;Hong, Theodore S;Wo, Jennifer Y;Ferrone, Cristina R;Warshaw, Andrew L;Lillemoe, Keith D;Fernandez-Del Castillo, Carlos Adjuvant therapy;IPMN;Intraductal papillary mucinous neoplasms of the pancreas;Invasive IPMN Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.]"
32221010,"Walled-off pancreatic necrosis: a staged multidisciplinary step-up approach. Walled-off pancreatic necrosis (WOPN) is a rare complication of pancreatitis. We present the case of a woman in her eighties admitted for diffuse abdominal pain. She had a palpable abdominal mass and the CT scan showed necrosis throughout the tail of the pancreas, a peripancreatic and retrogastric hydroaerial collection (19 cm of diameter) and a calculus in the main biliary duct, thus establishing a diagnosis of emphysematous necrotising obstructive pancreatitis. A step-up approach was decided, first with removal of the biliary calculus, followed by a waiting period of 4 weeks in which the patient was under intravenous antibiotics. At re-evaluation, the CT scan showed a smaller and more organised collection, bounded by a wall, defining WOPN. At this stage, transgastric drainage via echoendoscopy was attempted, without success, followed by percutaneous CT-guided drainage, also with little effect. Surgical necrosectomy was then executed, as a final step, with a successful outcome.© BMJ Publishing Group Limited 2020. No commercial re-use. See rights and permissions. Published by BMJ. Sousa, Débora;Freitas Ferreira, Ana Carolina;Raimundo, Pedro;Maio, Rui gastrointestinal surgery;hepatitis and other GI infections;pancreas and biliary tract;pancreatitis BMJ case reports"
32213293,"Late Conversion to Sirolimus or Everolimus After Pancreas Transplant. Pancreas transplant is an effective treatment for insulin-dependent diabetic individuals with end-stage renal disease, yet immunosuppression-associated adverse events may adversely affect patient and graft survival. The aim of the study was to document whether mammalian target of rapamycin inhibitors (mTORi) are safe and effective as a second-line drug after pancreas transplant.An observational single-center study was performed in a cohort of 490 simultaneous pancreas-kidney transplant and 45 pancreas-after-kidney transplant individuals after conversion to mTORi (n = 13) owing to adverse events of either tacrolimus or mycophenolate.mTORi conversion was performed 11.5 ± 10.1 (range, 1-28) months after pancreas transplant, mainly owing to cytomegalovirus infection and gastrointestinal intolerance. We frequently observed clinical complications after mTORi conversion, yet creatinine, eGFR, proteinuria, fasting plasma glucose, HbA1c, and C-peptide remained stable throughout the study (mean follow-up 8.2 ± 5, range 1-17) years, as did the lipid profile (P > .05). However, graft loss occurred in almost 20% of patients owing to chronic alterations.The small number of patients and a single-center cohort were limitations of the study.Late mTORi conversion is a safe and effective approach when tacrolimus or mycophenolate-mediated adverse events occur after pancreas transplant.Copyright © 2020 Elsevier Inc. All rights reserved. Marcella-Neto, Rubens;de Sá, João R;Melaragno, Cláudio S;Gonzalez, Adriano M;Salzedas-Neto, Alcides;Linhares, Marcelo M;Medina-Pestana, José O;Rangel, Érika B  Transplantation proceedings"
32203220,"Targeting the HGF/c-MET pathway in advanced pancreatic cancer: a key element of treatment that limits primary tumour growth and eliminates metastasis. Stromal-tumour interactions facilitate pancreatic cancer (PC) progression. The hepatocyte growth factor (HGF)/c-MET pathway is upregulated in PC and mediates the interaction between cancer cells and stromal pancreatic stellate cells (PSCs). This study assessed the effect of HGF/c-MET inhibition plus gemcitabine (G) on the progression of advanced PC.Orthotopic PC was produced by implantation of luciferase-tagged human cancer cells + human PSCs into mouse pancreas. Tumours were allowed to develop without treatment for 4 weeks. Mice were then treated for 6 weeks with one of the following: IgG, G, HGF inhibitor (Hi), c-MET inhibitor (Ci), Hi + Ci, Hi + G, Ci + G, or Hi + Ci + G.Bioluminescence imaging showed similar tumour sizes in all mice at the initiation of treatments. Triple therapy (Hi + Ci + G): (1) completely eliminated metastasis; (2) significantly reduced tumour size as assessed by bioluminescence and at necropsy; (3) significantly reduced proliferating cancer cell density and stem cell marker DCLK1 expression in tumours. In vitro 3D culture studies supported our in vivo findings.Even at an advanced disease stage, a two-pronged approach, targeting (a) HGF/c-MET with relevant inhibitors and (b) cancer cells with chemotherapy, completely eliminated metastasis and significantly decreased tumour growth, suggesting that this is a promising treatment approach for PC. Xu, Zhihong;Pang, Tony C Y;Liu, Adele C;Pothula, Srinivasa P;Mekapogu, Alpha Raj;Perera, Chamini J;Murakami, Takashi;Goldstein, David;Pirola, Romano C;Wilson, Jeremy S;Apte, Minoti V  British journal of cancer"
32201508,"CXCL5 overexpression predicts a poor prognosis in pancreatic ductal adenocarcinoma and is correlated with immune cell infiltration. Background: C-X-C motif chemokine 5 (CXCL5) is an important attractant for immune cell accumulation in tumor tissues. Recent evidence has shown that CXCL5 could promote carcinogenesis and cancer progression in a variety of cancer types. However, the relationships between CXCL5, immune cell infiltration and pancreatic ductal adenocarcinoma (PDAC) remain largely unknown. This study aimed to explore the role and regulative mechanism of CXCL5 in PDAC carcinogenesis. Materials and Methods: The expression of CXCL5 in PDAC was analyzed based on online databases and tissue microarray staining, and Western blotting of CXCL5 in PDAC cell lines and patient samples. The correlation between CXCL5 expression and clinicopathological features, prognosis and immune cell infiltration in tumor tissues was analyzed. Results: High expression of CXCL5 was observed both in PDAC tumor tissue and PDAC cell lines, compared to normal pancreas tissues and normal ductal epithelium cells. High CXCL5 expression in tumor tissues was positively correlated with an advanced T stage (p=0.036), a positive tumor lymph node metastasis (p=0.014), a poor differentiation status (p=0.003) and a poor prognosis (p=0.001). Combination of CA242 and CXCL5 expression (p<0.0001) served as a better prognostic factor than CA242 alone (p=0.006). In addition, PDAC patients with high CXCL5 expression had more intratumoral M2 polarized macrophages (p=0.0248), neutrophils (p=0.0068) and IgG+ plasma cells (p=0.0133) than patients with low CXCL5 expression. Conclusions: The expression of CXCL5 is elevated in pancreatic cancer cells. High CXCL5 expression is positively correlated with poor survival and the increased infiltration of several types of immune suppressive cells. Thus, CXCL5 could be a promising therapeutic target for PDAC immunotherapy.© The author(s). Zhang, Ronghua;Liu, Qiaofei;Peng, Junya;Wang, Mengyi;Li, Tong;Liu, Jingkai;Cui, Ming;Zhang, Xiang;Gao, Xiang;Liao, Quan;Zhao, Yupei CXCL5;immune cell infiltration;pancreatic ductal adenocarcinoma;prognosis Journal of Cancer"
32183949,"Dendritic Cell Paucity Leads to Dysfunctional Immune Surveillance in Pancreatic Cancer. Here, we utilized spontaneous models of pancreatic and lung cancer to examine how neoantigenicity shapes tumor immunity and progression. As expected, neoantigen expression during lung adenocarcinoma development leads to T cell-mediated immunity and disease restraint. By contrast, neoantigen expression in pancreatic ductal adenocarcinoma (PDAC) results in exacerbation of a fibro-inflammatory microenvironment that drives disease progression and metastasis. Pathogenic TH17 responses are responsible for this neoantigen-induced tumor progression in PDAC. Underlying these divergent T cell responses in pancreas and lung cancer are differences in infiltrating conventional dendritic cells (cDCs). Overcoming cDC deficiency in early-stage PDAC leads to disease restraint, while restoration of cDC function in advanced PDAC restores tumor-restraining immunity and enhances responsiveness to radiation therapy.Copyright © 2020 Elsevier Inc. All rights reserved. Hegde, Samarth;Krisnawan, Varintra E;Herzog, Brett H;Zuo, Chong;Breden, Marcus A;Knolhoff, Brett L;Hogg, Graham D;Tang, Jack P;Baer, John M;Mpoy, Cedric;Lee, Kyung Bae;Alexander, Katherine A;Rogers, Buck E;Murphy, Kenneth M;Hawkins, William G;Fields, Ryan C;DeSelm, Carl J;Schwarz, Julie K;DeNardo, David G CD40;Flt3L;dendritic cell;immune surveillance;immunotherapy;neoantigen;pancreatic cancer;radiation therapy;vaccination Cancer cell"
